



2019-03-11 09:22:03.656261 Retorno metodo isPago:False, documento:369514  None
2019-03-11 09:22:03.957544 Retorno metodo isPago:False, documento:369064  None
2019-03-11 09:22:04.259915 Retorno metodo isPago:False, documento:369521  None
2019-03-11 09:22:04.561618 Retorno metodo isPago:False, documento:368811  None
2019-03-11 09:22:04.883172 Retorno metodo isPago:False, documento:368953  None
2019-03-11 09:22:05.193410 Retorno metodo isPago:False, documento:369530  None
2019-03-11 09:22:05.502500 Retorno metodo isPago:False, documento:369118  None
2019-03-11 09:22:05.803944 Retorno metodo isPago:False, documento:369219  None
2019-03-11 09:22:06.110420 Retorno metodo isPago:False, documento:369272  None
2019-03-11 09:22:06.413477 Retorno metodo isPago:False, documento:369275  None
2019-03-11 09:22:06.714290 Retorno metodo isPago:False, documento:369394  None
2019-03-11 09:22:07.025055 Retorno metodo isPago:False, documento:369694  None
2019-03-11 09:22:07.333414 Retorno metodo isPago:False, documento:369117  None
2019-03-11 09:22:07.636113 Retorno metodo isPago:False, documento:369056  None
2019-03-11 09:22:07.939865 Retorno metodo isPago:False, documento:369274  None
2019-03-11 09:22:08.242315 Retorno metodo isPago:False, documento:369153  None
2019-03-11 09:22:08.544652 Retorno metodo isPago:False, documento:366679  None
2019-03-11 09:22:08.844406 Retorno metodo isPago:False, documento:369690  None
2019-03-11 09:22:09.143888 Retorno metodo isPago:False, documento:369424  None
2019-03-11 09:22:09.443830 Retorno metodo isPago:False, documento:369271  None
2019-03-11 09:22:09.752802 Retorno metodo isPago:False, documento:369273  None
2019-03-11 09:22:10.052980 Retorno metodo isPago:False, documento:369650  None
2019-03-11 09:22:10.361537 Retorno metodo isPago:False, documento:365574  None
2019-03-11 09:22:10.663636 Retorno metodo isPago:False, documento:368313  None
2019-03-11 09:22:10.969156 Retorno metodo isPago:False, documento:368280  None
2019-03-11 09:22:11.271062 Retorno metodo isPago:False, documento:367549  None
2019-03-11 09:22:11.572715 Retorno metodo isPago:False, documento:367244  None
2019-03-11 09:22:11.889329 Retorno metodo isPago:False, documento:367243  None
2019-03-11 09:22:12.197455 Retorno metodo isPago:False, documento:368406  None
2019-03-11 09:22:12.496684 Retorno metodo isPago:False, documento:368393  None
2019-03-11 09:22:12.820547 Retorno metodo isPago:False, documento:367710  None
2019-03-11 09:22:13.127376 Retorno metodo isPago:False, documento:367531  None
2019-03-11 09:22:13.427508 Retorno metodo isPago:False, documento:368391  None
2019-03-11 09:22:13.736940 Retorno metodo isPago:False, documento:367351  None
2019-03-11 09:22:14.045057 Retorno metodo isPago:False, documento:367517  None
2019-03-11 09:22:14.344635 Retorno metodo isPago:False, documento:366881  None
2019-03-11 09:22:14.653100 Retorno metodo isPago:False, documento:367358  None
2019-03-11 09:22:14.969505 Retorno metodo isPago:False, documento:367853  None
2019-03-11 09:22:15.268380 Retorno metodo isPago:False, documento:368436  None
2019-03-11 09:22:15.568230 Retorno metodo isPago:False, documento:367942  None
2019-03-11 09:22:15.869963 Retorno metodo isPago:False, documento:368307  None
2019-03-11 09:22:16.192845 Retorno metodo isPago:False, documento:367935  None
2019-03-11 09:22:16.479877 Retorno metodo isPago:False, documento:367443  None
2019-03-11 09:22:16.766808 Retorno metodo isPago:False, documento:367120  None
2019-03-11 09:22:17.067549 Retorno metodo isPago:False, documento:367515  None
2019-03-11 09:22:17.376369 Retorno metodo isPago:False, documento:367594  None
2019-03-11 09:22:17.685095 Retorno metodo isPago:False, documento:368094  None
2019-03-11 09:22:17.990735 Retorno metodo isPago:False, documento:367784  None
2019-03-11 09:22:18.301349 Retorno metodo isPago:False, documento:367940  None
2019-03-11 09:22:18.616603 Retorno metodo isPago:False, documento:367285  None
2019-03-11 09:22:18.917666 Retorno metodo isPago:False, documento:368296  None
2019-03-11 09:22:19.221193 Retorno metodo isPago:False, documento:367026  None
2019-03-11 09:22:19.533366 Retorno metodo isPago:False, documento:368290  None
2019-03-11 09:22:19.841319 Retorno metodo isPago:False, documento:367407  None
2019-03-11 09:22:20.144417 Retorno metodo isPago:False, documento:368294  None
2019-03-11 09:22:20.444695 Retorno metodo isPago:False, documento:368282  None
2019-03-11 09:22:20.753345 Retorno metodo isPago:False, documento:367898  None
2019-03-11 09:22:21.066470 Retorno metodo isPago:False, documento:367111  None
2019-03-11 09:22:21.384525 Retorno metodo isPago:False, documento:368168  None
2019-03-11 09:22:21.709709 Retorno metodo isPago:False, documento:368107  None
2019-03-11 09:22:22.010237 Retorno metodo isPago:False, documento:368347  None
2019-03-11 09:22:22.311171 Retorno metodo isPago:False, documento:368056  None
2019-03-11 09:22:22.609253 Retorno metodo isPago:False, documento:367306  None
2019-03-11 09:22:22.913146 Retorno metodo isPago:False, documento:368057  None
2019-03-11 09:22:23.217225 Retorno metodo isPago:False, documento:368563  None
2019-03-11 09:22:23.519119 Retorno metodo isPago:False, documento:368165  None
2019-03-11 09:22:23.836917 Retorno metodo isPago:False, documento:368240  None
2019-03-11 09:22:24.139097 Retorno metodo isPago:False, documento:367458  None
2019-03-11 09:22:24.448054 Retorno metodo isPago:False, documento:368254  None
2019-03-11 09:22:24.757317 Retorno metodo isPago:False, documento:368162  None
2019-03-11 09:22:25.063431 Retorno metodo isPago:False, documento:368121  None
2019-03-11 09:22:25.364713 Retorno metodo isPago:False, documento:367794  None
2019-03-11 09:22:25.666554 Retorno metodo isPago:False, documento:366428  None
2019-03-11 09:22:25.971948 Retorno metodo isPago:False, documento:366649  None
2019-03-11 09:22:26.272721 Retorno metodo isPago:False, documento:366507  None
2019-03-11 09:22:26.582271 Retorno metodo isPago:False, documento:366481  None
2019-03-11 09:22:26.894044 Retorno metodo isPago:False, documento:366821  None
2019-03-11 09:22:27.198005 Retorno metodo isPago:False, documento:366567  None
2019-03-11 09:22:27.507789 Retorno metodo isPago:False, documento:366638  None
2019-03-11 09:22:27.808576 Retorno metodo isPago:False, documento:366651  None
2019-03-11 09:22:28.109939 Retorno metodo isPago:True, documento:366407  2015-11-03 00:00:00
2019-03-11 09:22:28.109985 Retorno metodo isPago:False, documento:366407  None
2019-03-11 09:22:28.418852 Retorno metodo isPago:False, documento:366564  None
2019-03-11 09:22:28.722603 Retorno metodo isPago:False, documento:366446  None
2019-03-11 09:22:29.022674 Retorno metodo isPago:False, documento:366179  None
2019-03-11 09:22:29.331745 Retorno metodo isPago:False, documento:365483  None
2019-03-11 09:22:29.632654 Retorno metodo isPago:False, documento:365228  None
2019-03-11 09:22:29.941520 Retorno metodo isPago:False, documento:365846  None
2019-03-11 09:22:30.258753 Retorno metodo isPago:False, documento:364905  None
